start_date,end_date,state,score_max,peak_date
2023-08-30,2023-09-14,Pre-Stress,1.5783872155431764,2023-09-12
2023-09-15,2023-10-30,Pre-Stress,3.1159108389794135,2023-10-30
2023-10-30,2023-10-31,Core Stress,3.1159108389794135,2023-10-30
2023-10-31,2023-11-02,Pre-Stress,3.255335409579934,2023-11-02
2023-11-02,2023-11-03,Core Stress,3.255335409579934,2023-11-02
2023-11-03,2023-11-10,Pre-Stress,3.1437929531456446,2023-11-10
2023-11-10,2023-11-13,Core Stress,3.1437929531456446,2023-11-10
2023-11-13,2023-11-14,Pre-Stress,3.871415861146142,2023-11-14
2023-11-14,2023-11-16,Core Stress,3.871415861146142,2023-11-14
2023-11-16,2023-12-15,Pre-Stress,2.9003422258034837,2023-11-16
2023-12-20,2023-12-26,Pre-Stress,1.4294127119339899,2023-12-20
2024-01-02,2024-01-10,Pre-Stress,1.5016263723900374,2024-01-04
2024-01-16,2024-01-18,Pre-Stress,1.2705448480689152,2024-01-17
2024-01-31,2024-02-01,Pre-Stress,1.3562576487895277,2024-01-31
2024-02-05,2024-02-06,Pre-Stress,1.0359571248468944,2024-02-05
2024-02-13,2024-03-01,Pre-Stress,2.1297898592285236,2024-02-22
2024-03-05,2024-03-19,Pre-Stress,1.4126631927873454,2024-03-11
2024-03-26,2024-03-27,Pre-Stress,1.060019621573221,2024-03-26
2024-04-02,2024-05-17,Pre-Stress,2.309802562047764,2024-05-01
2024-05-23,2024-05-24,Pre-Stress,1.1583706295158551,2024-05-23
2024-05-29,2024-06-05,Pre-Stress,1.3401714428475844,2024-05-30
2024-06-24,2024-06-25,Pre-Stress,1.056989694156301,2024-06-24
2024-07-11,2024-07-12,Pre-Stress,1.1141013077016084,2024-07-11
2024-07-17,2024-08-02,Pre-Stress,3.1046275944406085,2024-08-02
2024-08-02,2024-10-01,Core Stress,6.072818485623598,2024-08-08
2024-10-01,2024-12-04,Pre-Stress,2.8327354275735486,2024-10-01
2024-12-09,2024-12-11,Pre-Stress,1.2483187073307012,2024-12-10
2024-12-12,2024-12-16,Pre-Stress,1.1220237259817833,2024-12-12
2024-12-17,2025-03-06,Pre-Stress,3.257160894500303,2025-03-06
2025-03-06,2025-04-03,Core Stress,6.654434796331548,2025-04-03
2025-04-03,2025-06-10,Extreme,7.043792468123459,2025-04-09
2025-06-10,2025-07-02,Core Stress,5.995199622212249,2025-06-17
2025-07-02,2025-07-21,Pre-Stress,2.937713005189484,2025-07-07
2025-07-31,2025-08-08,Pre-Stress,1.7485076339411463,2025-08-01
2025-08-19,2025-09-04,Pre-Stress,1.462302141597323,2025-08-21
2025-09-23,2025-09-29,Pre-Stress,1.2548626320162344,2025-09-25
2025-10-10,2025-11-12,Pre-Stress,2.4586714406502046,2025-11-06
2025-11-13,2025-12-12,Pre-Stress,2.702403231288637,2025-11-20
