start_date,end_date,state,score_max,peak_date
2025-06-13,2025-06-25,Pre-Stress,1.6914502021095186,2025-06-22
2025-06-29,2025-07-02,Pre-Stress,1.3589741155070838,2025-07-01
2025-07-04,2025-07-06,Pre-Stress,1.1051319211116668,2025-07-04
2025-07-07,2025-07-08,Pre-Stress,1.071800824198488,2025-07-07
2025-07-10,2025-07-11,Pre-Stress,1.2633753544347321,2025-07-10
2025-07-15,2025-07-17,Pre-Stress,1.1346946207017825,2025-07-15
2025-07-18,2025-07-22,Pre-Stress,1.1726639977708277,2025-07-20
2025-07-23,2025-07-27,Pre-Stress,1.1509207182307337,2025-07-25
2025-07-28,2025-08-10,Pre-Stress,1.7429438432042312,2025-08-02
2025-08-11,2025-08-12,Pre-Stress,1.0551920889753035,2025-08-11
2025-08-14,2025-09-08,Pre-Stress,2.1089713866718083,2025-08-29
2025-09-09,2025-09-10,Pre-Stress,1.10702759393492,2025-09-09
2025-09-19,2025-10-02,Pre-Stress,1.7551636459903701,2025-09-25
2025-10-07,2025-10-10,Pre-Stress,2.4604461647417706,2025-10-10
2025-10-10,2025-10-20,Core Stress,2.7649687203233775,2025-10-17
2025-10-20,2025-11-04,Pre-Stress,2.3676572882451055,2025-11-04
2025-11-04,2025-11-05,Core Stress,2.3676572882451055,2025-11-04
2025-11-05,2025-11-06,Pre-Stress,2.347069376782904,2025-11-06
2025-11-06,2025-11-07,Core Stress,2.347069376782904,2025-11-06
2025-11-07,2025-11-13,Pre-Stress,2.368254151290569,2025-11-13
2025-11-13,2025-12-11,Core Stress,4.218139174651676,2025-11-21
2025-12-11,2025-12-12,Pre-Stress,2.3840766093655175,2025-12-12
2025-12-12,2025-12-16,Core Stress,2.5788706866064186,2025-12-15
