Date,Regime
2025-06-10,Stable
2025-06-11,Stable
2025-06-12,Stable
2025-06-13,Stable
2025-06-16,Stable
2025-06-17,Stable
2025-06-18,Stable
2025-06-20,Stable
2025-06-23,Stable
2025-06-24,Stable
2025-06-25,Stable
2025-06-26,Stable
2025-06-27,Stable
2025-06-30,Stable
2025-07-01,Stable
2025-07-02,Stable
2025-07-03,Stable
2025-07-07,Stable
2025-07-08,Stable
2025-07-09,Stable
2025-07-10,Stable
2025-07-11,Stable
2025-07-14,Stable
2025-07-15,Stable
2025-07-16,Stable
2025-07-17,Stable
2025-07-18,Stable
2025-07-21,Stable
2025-07-22,Stable
2025-07-23,Stable
2025-07-24,Stable
2025-07-25,Stable
2025-07-28,Stable
2025-07-29,Stable
2025-07-30,Stable
2025-07-31,Stable
2025-08-01,Stable
2025-08-04,Stable
2025-08-05,Stable
2025-08-06,Stable
2025-08-07,Stable
2025-08-08,Stable
2025-08-11,Stable
2025-08-12,Stable
2025-08-13,Stable
2025-08-14,Stable
2025-08-15,Stable
2025-08-18,Stable
2025-08-19,Stable
2025-08-20,Stable
2025-08-21,Stable
2025-08-22,Stable
2025-08-25,Stable
2025-08-26,Stable
2025-08-27,Stable
2025-08-28,Stable
2025-08-29,Stable
2025-09-02,Stable
2025-09-03,Stable
2025-09-04,Stable
2025-09-05,Stable
2025-09-08,Stable
2025-09-09,Stable
2025-09-10,Stable
2025-09-11,Stable
2025-09-12,Stable
2025-09-15,Stable
2025-09-16,Stable
2025-09-17,Stable
2025-09-18,Attention
2025-09-19,Stable
2025-09-22,Stable
2025-09-23,Stable
2025-09-24,Stable
2025-09-25,Stable
2025-09-26,Stable
2025-09-29,Stable
2025-09-30,Stable
2025-10-01,Stable
2025-10-02,Stable
2025-10-03,Stable
2025-10-06,Stable
2025-10-07,Stable
2025-10-08,Stable
2025-10-09,Attention
2025-10-10,Stable
2025-10-13,Stable
2025-10-14,Stable
2025-10-15,Stable
2025-10-16,Stable
2025-10-17,Attention
2025-10-20,Attention
2025-10-21,Elevated Risk
2025-10-22,Elevated Risk
2025-10-23,Elevated Risk
2025-10-24,Elevated Risk
2025-10-27,Elevated Risk
2025-10-28,Elevated Risk
2025-10-29,Elevated Risk
2025-10-30,Elevated Risk
2025-10-31,Elevated Risk
2025-11-03,Elevated Risk
2025-11-04,Elevated Risk
2025-11-05,Elevated Risk
2025-11-06,Elevated Risk
2025-11-07,Elevated Risk
2025-11-10,Elevated Risk
2025-11-11,Elevated Risk
2025-11-12,Elevated Risk
2025-11-13,Elevated Risk
2025-11-14,Elevated Risk
2025-11-17,Elevated Risk
2025-11-18,Attention
2025-11-19,Attention
2025-11-20,Attention
2025-11-21,Attention
2025-11-24,Attention
2025-11-25,Attention
2025-11-26,Attention
2025-11-28,Attention
2025-12-01,Attention
2025-12-02,Attention
2025-12-03,Attention
2025-12-04,Attention
2025-12-05,Attention
2025-12-08,Attention
2025-12-09,Attention
2025-12-10,Attention
2025-12-11,Attention
2025-12-12,Attention
