start_date,end_date,state,score_max,peak_date
2025-09-05,2025-09-09,Pre-Stress,1.025376618563695,2025-09-05
2025-09-10,2025-09-11,Pre-Stress,1.0103926113115353,2025-09-10
2025-09-23,2025-09-30,Pre-Stress,1.503565123355691,2025-09-25
2025-10-07,2025-10-08,Pre-Stress,1.0545977334920091,2025-10-07
2025-10-09,2025-11-06,Pre-Stress,2.704055214060787,2025-11-06
2025-11-06,2025-11-07,Core Stress,2.704055214060787,2025-11-06
2025-11-07,2025-11-18,Pre-Stress,2.6314532315399948,2025-11-18
2025-11-18,2025-11-28,Core Stress,3.2501358597087946,2025-11-20
2025-11-28,2025-12-01,Pre-Stress,2.643053574359317,2025-12-01
2025-12-01,2025-12-03,Core Stress,2.643053574359317,2025-12-01
2025-12-03,2025-12-15,Pre-Stress,2.257486200198181,2025-12-04
