start_date,end_date,state,score_max,peak_date
2025-09-05,2025-09-08,Pre-Stress,1.0202866806342334,2025-09-05
2025-09-10,2025-09-11,Pre-Stress,1.0064972507128331,2025-09-10
2025-09-23,2025-09-30,Pre-Stress,1.4999541571842019,2025-09-25
2025-10-07,2025-10-08,Pre-Stress,1.04951946442383,2025-10-07
2025-10-10,2025-11-06,Pre-Stress,2.7017866225654252,2025-11-06
2025-11-06,2025-11-07,Core Stress,2.7017866225654252,2025-11-06
2025-11-07,2025-11-18,Pre-Stress,2.6330287776924957,2025-11-18
2025-11-18,2025-11-28,Core Stress,3.2488120737810764,2025-11-20
2025-11-28,2025-12-01,Pre-Stress,2.6406350452499208,2025-12-01
2025-12-01,2025-12-03,Core Stress,2.6406350452499208,2025-12-01
2025-12-03,2025-12-12,Pre-Stress,2.2559692339955815,2025-12-04
